title,site,type,directorAndActor,quote,star,date,url
虎口脱险 / 横冲直撞出重围(港)  /  大進擊(台),法国 英国,喜剧 战争,导演:杰拉尔·乌里GérardOury   主演:路易·德·菲耐斯LouisdeFunès...,永远看不腻的喜剧。,8.9,1966,https://movie.douban.com/subject/1296909/
雨中曲 / 雨中情  /  万花嬉春,美国,喜剧 歌舞 爱情,导演:StanleyDonen/GeneKelly   主演:GeneKelly/DonaldO'Connor/...,骨灰级歌舞片。,8.9,1952,https://movie.douban.com/subject/1293460/
小森林 冬春篇 / 小森食光 / 冬春篇(台) ,日本,剧情,导演:森淳一JunichiMori   主演:桥本爱AiHashimoto/三浦贵大Takahir...,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,8.9,2015,https://movie.douban.com/subject/25814707/
追随 / 致命追踪  /  跟踪,英国,犯罪 悬疑 惊悚,导演:克里斯托弗·诺兰ChristopherNolan   主演:杰里米·西奥伯德Jeremy...,诺兰的牛逼来源于内心散发出的恐惧。,8.9,1998,https://movie.douban.com/subject/1397546/
惊魂记 / 精神病患者  /  触目惊心,美国,悬疑 惊悚 恐怖,导演:AlfredHitchcock   主演:JanetLeigh/AnthonyPerkins/VeraMiles,故事的反转与反转，分裂电影的始祖。,8.9,1960,https://movie.douban.com/subject/1293181/
哪吒闹海 / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,中国大陆,冒险 动画 奇幻,导演:严定宪DingxianYan/王树忱ShuchenWang   主演:梁正晖Zhenghui...,想你时你在闹海。,8.9,1979,https://movie.douban.com/subject/1307315/
勇士 / 勇者无敌(台)  /  钢铁斗士(港),美国,剧情 运动 家庭,导演:加文·欧康诺GavinO'Connor   主演:汤姆·哈迪TomHardy/乔尔·...,热血沸腾，相当完美的娱乐拳击大餐。,8.9,2011,https://movie.douban.com/subject/3217169/
V字仇杀队 / V煞(港)  /  V怪客(台),美国 英国 德国,剧情 动作 科幻 惊悚,导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...,一张面具背后的理想与革命。,8.8,2005,https://movie.douban.com/subject/1309046/
情书 / When I Close My Eyes  /  Letters of Love,日本,剧情 爱情,导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...,暗恋的极致。,8.8,1995,https://movie.douban.com/subject/1292220/
致命魔术 / 顶尖对决(台)  /  死亡魔法(港),美国 英国,剧情 悬疑 惊悚,导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...,孪生蝙蝠侠大战克隆金刚狼。,8.8,2006,https://movie.douban.com/subject/1780330/
勇敢的心 / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),美国,动作 传记 剧情 历史 战争,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...,史诗大片的典范。,8.8,1995,https://movie.douban.com/subject/1294639/
低俗小说 / 黑色追緝令(台)  /  危险人物(港),美国,剧情 喜剧 犯罪,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra...,故事的高级讲法。,8.8,1994,https://movie.douban.com/subject/1291832/
黑客帝国 / 廿二世纪杀人网络(港)  /  骇客任务(台),美国 澳大利亚,动作 科幻,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主...,视觉革命。,8.8,1999,https://movie.douban.com/subject/1291843/
入殓师 / 礼仪师之奏鸣曲(港)  /  礼仪师(台),日本,剧情,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/...,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,2008,https://movie.douban.com/subject/2149806/
春光乍泄 / 一起快乐  /  Happy Together,香港 日本 韩国,剧情 爱情 同性,导演:王家卫KarWaiWong   主演:张国荣LeslieCheung/梁朝伟TonyLeu...,爱情纠缠，男女一致。,8.8,1997,https://movie.douban.com/subject/1292679/
心灵捕手 / 骄阳似我(港)  /  心灵捕手,美国,剧情,导演:格斯·范·桑特GusVanSant   主演:马特·达蒙MattDamon/罗宾·...,人生中应该拥有这样的一段豁然开朗。,8.8,1997,https://movie.douban.com/subject/1292656/
幽灵公主 / 魔法公主  /  幽灵少女,日本,动作 爱情 战争 动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:松田洋治YôjiMatsuda/石田百合...,人与自然的战争史诗。,8.8,1997,https://movie.douban.com/subject/1297359/
第六感 / 灵异第六感  /  鬼眼,美国,剧情 悬疑 惊悚,导演:M·奈特·沙马兰M.NightShyamalan   主演:布鲁斯·威利斯BruceWi...,深入内心的恐怖，出人意料的结局。,8.8,1999,https://movie.douban.com/subject/1297630/
甜蜜蜜 / Comrades: Almost a Love Story,香港,剧情 爱情,导演:陈可辛PeterChan   主演:黎明LeonLai/张曼玉MaggieCheung/...,相逢只要一瞬间，等待却像是一辈子。,8.8,1996,https://movie.douban.com/subject/1305164/
布达佩斯大饭店 / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),美国 德国 英国,剧情 喜剧,导演:韦斯·安德森WesAnderson   主演:拉尔夫·费因斯RalphFiennes/...,小清新的故事里注入了大历史的情怀。,8.8,2014,https://movie.douban.com/subject/11525673/
阳光姐妹淘 / 阳光姊妹淘(港)  /  桑尼,韩国,剧情 喜剧,导演:姜炯哲Hyeong-CheolKang   主演:沈恩京Eun-kyungShim/闵孝琳Hy...,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,2011,https://movie.douban.com/subject/4917726/
风之谷 / 风谷少女  /  Kaze no tani no Naushika,日本,科幻 动画 奇幻 冒险,导演:宫崎骏HayaoMiyazaki   主演:岛本须美SumiShimamoto/松田洋治Y...,动画片的圣经。,8.8,1984,https://movie.douban.com/subject/1291585/
侧耳倾听 / 心之谷  /  梦幻街少女,日本,剧情 爱情 动画 音乐,导演:近藤喜文YoshifumiKondo   主演:本名阳子YoukoHonna/小林桂树K...,少女情怀总是诗。,8.8,1995,https://movie.douban.com/subject/1297052/
超脱 / 人间师格(台),美国,剧情,导演:托尼·凯耶TonyKaye   主演:艾德里安·布洛迪AdrienBrody/马西...,穷尽一生，我们要学会的，不过是彼此拥抱。,8.8,2011,https://movie.douban.com/subject/5322596/
